,Pick,Years After Draft,variable,NHL Probability,Star Probability
215,13,11,Estimate,0.563456598570161,0.1073765430865834
216,13,12,Estimate,0.5087602605774488,0.09108925686822765
217,13,13,Estimate,,
218,13,14,Estimate,,
219,13,15,Estimate,,
220,13,16,Estimate,,
221,14,0,Estimate,0.07037016269514876,0.0048126812854186315
222,14,1,Estimate,0.28343377942719994,0.031013263572948525
223,14,2,Estimate,0.4861394264959884,0.06894900511565341
224,14,3,Estimate,0.6350830399417068,0.1080757582914677
225,14,4,Estimate,0.7187169511329052,0.13344767797927615
226,14,5,Estimate,0.7528394030831077,0.15489053510438391
227,14,6,Estimate,0.7476082070493212,0.1758362381408044
228,14,7,Estimate,0.7131586090291473,0.1839951852582639
229,14,8,Estimate,0.659923332005768,0.17514927047954698
230,14,9,Estimate,0.618300437320524,0.15051339358568178
231,14,10,Estimate,0.5963574126828912,0.11669014587311236
232,14,11,Estimate,0.564908941140329,0.09951371056351466
233,14,12,Estimate,0.5096141186435375,0.08770978236347349
234,14,13,Estimate,,
235,14,14,Estimate,,
236,14,15,Estimate,,
237,14,16,Estimate,,
238,15,0,Estimate,0.06346497851018601,0.004635485272841236
239,15,1,Estimate,0.26930088833186167,0.02881788197607916
240,15,2,Estimate,0.4676436102232389,0.06430418364730701
241,15,3,Estimate,0.6146121604422872,0.10162686602646798
242,15,4,Estimate,0.6986257690931378,0.1267734866148518
243,15,5,Estimate,0.735810961262336,0.147086140784503
244,15,6,Estimate,0.7357015715160087,0.16807015055226415
245,15,7,Estimate,0.7062025816150881,0.17850384788736876
246,15,8,Estimate,0.655801200197368,0.16937776066541946
247,15,9,Estimate,0.6129075407530971,0.14181192270875204
248,15,10,Estimate,0.5898546408426695,0.1072677375221922
249,15,11,Estimate,0.5594918758608536,0.09227826230346889
250,15,12,Estimate,0.5026154702903116,0.08499141171459991
251,15,13,Estimate,,
252,15,14,Estimate,,
253,15,15,Estimate,,
254,15,16,Estimate,,
255,16,0,Estimate,0.05791215358633166,0.0045544189899457774
256,16,1,Estimate,0.2562007069548745,0.026989255366954776
257,16,2,Estimate,0.4494293810581077,0.06015328396729166
258,16,3,Estimate,0.5936462186783567,0.09518235805918279
259,16,4,Estimate,0.6774239006393107,0.1194689546672662
260,16,5,Estimate,0.7175410097450675,0.13888653009916996
261,16,6,Estimate,0.7219204815694167,0.15999793549100125
262,16,7,Estimate,0.6961055087259145,0.17217013414999624
263,16,8,Estimate,0.6479291635826354,0.16270797120292174
264,16,9,Estimate,0.603090382887578,0.1330313738324506
265,16,10,Estimate,0.5774110303301387,0.09830028544593061
266,16,11,Estimate,0.5471063596065354,0.0853239072174894
267,16,12,Estimate,0.48857759798718275,0.08210517763758965
268,16,13,Estimate,,
269,16,14,Estimate,,
270,16,15,Estimate,,
271,16,16,Estimate,,
272,17,0,Estimate,0.05346725077683875,0.004585320529951929
273,17,1,Estimate,0.2438133945029488,0.025442407220434782
274,17,2,Estimate,0.4316075066880255,0.05627722721610105
275,17,3,Estimate,0.5730045611991955,0.08869410957401869
276,17,4,Estimate,0.6564064546618293,0.11157632808648656
277,17,5,Estimate,0.6989890085860251,0.13002495612360193
278,17,6,Estimate,0.7063970690063301,0.15095011388460455
279,17,7,Estimate,0.682587715283226,0.16408311209093707
280,17,8,Estimate,0.6360153230468525,0.15449407681815797
281,17,9,Estimate,0.5892481338161604,0.12405802000570099
282,17,10,Estimate,0.5605016781062276,0.08991977883231476
